currency,year,exchange_rate_to_one_sgd
JMD,2021,112.06646129121475
LYD,2021,3.3870440892083105
NGN,2021,300.1848089913251
RWF,2021,744.932503192197
SBD,2021,5.96957421937478
TND,2021,2.0669806391981713
USD,2021,0.7442503116687029
VND,2021,17068.843954161275
XAU,2021,0.0006709153144062412
ZAR,2021,11.004336679239506
CUC,2022,0.7256850974131273
IRR,2022,30655.560339062442
KES,2022,85.5302092004461
KGS,2022,61.14998748287278
MYR,2022,3.189564668502594
NOK,2022,6.968661064934814
SHP,2022,0.5884171591892605
XPF,2022,82.25227897063866
AOA,2023,491.6378563757169
XOF,2023,451.4452373308475
MGA,2023,3299.2269141381844
TOP,2023,1.7575757567280987
MOP,2023,6.000119997022878
SYP,2023,1869.2582665924263
BWP,2023,9.91365129797234
DOP,2023,41.52453775179504
HKD,2023,5.827758167768076
KPW,2023,669.5772833920065
JEP,2023,0.5998815730497244
BBD,2023,1.4882570388545349
BMD,2023,0.744319816043514
CUC,2023,0.7443270487251321
MDL,2023,13.53260494878544
USD,2010,0.7346078159339127
HUF,2010,152.6108754861524
RUB,2010,22.26691985884668
ETB,2010,10.501657789973104
LBP,2010,1096.1956384761327
LKR,2010,82.74713396884017
MRO,2010,199.27406159529008
NGN,2010,109.322747739256
NPR,2010,52.79218794420955
PLN,2011,2.354350818141016
PHP,2011,34.34742681644887
THB,2011,24.15054676155896
DJF,2011,136.619293024403
JMD,2011,67.06817417294329
LSL,2011,5.6437710427386545
CHF,2012,0.7507701449200974
CNY,2012,5.039267711065655
MYR,2012,2.467109896632786
SGD,2012,1.0
GNF,2012,5673.26156836646
MOP,2012,6.270835767220608
NGN,2012,125.24111914990156
PAB,2012,0.7847614508308767
VND,2012,16461.35435208208
XCD,2012,2.399667117406724
BGN,2013,1.1735467243829691
NOK,2013,4.696907978596606
CAD,2013,0.8233283083546286
ARS,2013,4.368656756076454
MOP,2013,6.266370813227501
GBP,2014,0.4792054812228564
TRY,2014,1.7253338826251958
HKD,2014,6.12268673369476
THB,2014,25.60259194407054
FJD,2014,1.4751624858216552
IQD,2014,902.602941702911
PYG,2014,3447.42445147232
ALL,2015,90.04309695863067
BAM,2015,1.2765970363567725
LSL,2015,9.123443955977077
LYD,2015,0.9720370297766744
MMK,2015,831.9148901558939
PGK,2015,1.9630768461263501
SCR,2015,9.059219313008759
AUD,2016,0.9742367849827062
BAM,2016,1.273918830766397
CUP,2016,0.705266320134412
XOF,2016,429.45625221264316
DKK,2017,4.776513959120775
PLN,2017,2.7335651457255463
CHF,2017,0.7131372430397674
NZD,2017,1.0199713492192808
PHP,2017,36.40035213618966
ALL,2017,84.56176040585068
BAM,2017,1.2496984432846638
BIF,2017,1228.4528831073894
KMF,2017,313.4696138907364
MRO,2017,256.2719366735526
HUF,2018,200.0472774398999
SEK,2018,6.4425948994881885
TRY,2018,3.5761733539549123
AUD,2018,0.9925371572720932
BSD,2018,0.7373385154853715
CLP,2018,466.45713298883624
HNL,2018,17.418529948971027
JOD,2018,0.5212469172830729
KMF,2018,303.3532396085928
KWD,2018,0.22321786339339203
SDG,2018,17.187261378836993
TND,2018,1.9498607505412793
XPF,2018,74.90648001568874
ZMW,2018,7.714111008195381
PLN,2019,2.813662152410564
ALL,2019,78.98864818147392
GTQ,2019,5.518238345819571
NAD,2019,10.422992874586779
PAB,2019,0.7175011538335017
PEN,2019,2.43064997068311
SCR,2019,9.39674984228419
SVC,2019,6.264259873027085
UYU,2019,25.329065797923835
RUB,2020,52.422120127935344
ILS,2020,2.491986861195366
BND,2020,0.9945682374547997
KWD,2020,0.22219437613220958
